pagina,indice,texto,href,tipo,estado,destino,observacion,decision_revisor,evidencia_revisor
/,18,"Yaquis. Memoria, territorio y participación política",/lecturas/yaquis-memoria-territorio-participacion-politica/,ruta_interna,resuelto_localmente,/lecturas/yaquis-memoria-territorio-participacion-politica/,,aprobado,/: destino local presente en dist/.
/,19,Régimen Porfirista,/unidades/regimen-porfirista/,ruta_interna,resuelto_localmente,/unidades/regimen-porfirista/,,aprobado,/: destino local presente en dist/.
/,20,Consultar lectura y ficha →,/lecturas/yaquis-memoria-territorio-participacion-politica/,ruta_interna,resuelto_localmente,/lecturas/yaquis-memoria-territorio-participacion-politica/,,aprobado,/: destino local presente en dist/.
/,21,Las elecciones y el sistema político,/lecturas/elecciones-sistema-politico/,ruta_interna,resuelto_localmente,/lecturas/elecciones-sistema-politico/,,aprobado,/: destino local presente en dist/.
/,22,Consolidación del sistema político autoritario,/unidades/consolidacion-sistema-politico-autoritario/,ruta_interna,resuelto_localmente,/unidades/consolidacion-sistema-politico-autoritario/,,aprobado,/: destino local presente en dist/.
/,23,Consultar lectura y ficha →,/lecturas/elecciones-sistema-politico/,ruta_interna,resuelto_localmente,/lecturas/elecciones-sistema-politico/,,aprobado,/: destino local presente en dist/.
/,24,Abrir la orientación de Unidad 3,/orientaciones/unidad-3-estado-surgido-de-la-revolucion/,ruta_interna,resuelto_localmente,/orientaciones/unidad-3-estado-surgido-de-la-revolucion/,,aprobado,/: destino local presente en dist/.
/,25,Metodología y límites,/acerca/,ruta_interna,resuelto_localmente,/acerca/,,aprobado,/: destino local presente en dist/.
/,26,Navegación docente,/orientaciones/,ruta_interna,resuelto_localmente,/orientaciones/,,aprobado,/: destino local presente en dist/.
/lecturas/crisis-del-porfirismo/,1,Saltar al contenido principal,#contenido-principal,ancla_en_pagina,resuelto_localmente,#contenido-principal,,aprobado,/lecturas/crisis-del-porfirismo/: destino local presente en dist/.
/lecturas/crisis-del-porfirismo/,2,HII Historia Contemporánea de México II Preparatoria Agrícola · UACh,/,ruta_interna,resuelto_localmente,/,,aprobado,/lecturas/crisis-del-porfirismo/: destino local presente en dist/.
/lecturas/crisis-del-porfirismo/,3,Lecturas,/lecturas/,ruta_interna,resuelto_localmente,/lecturas/,,aprobado,/lecturas/crisis-del-porfirismo/: destino local presente en dist/.
/lecturas/crisis-del-porfirismo/,4,Unidades,/unidades/regimen-porfirista/,ruta_interna,resuelto_localmente,/unidades/regimen-porfirista/,,aprobado,/lecturas/crisis-del-porfirismo/: destino local presente en dist/.
/lecturas/crisis-del-porfirismo/,5,Orientaciones,/orientaciones/,ruta_interna,resuelto_localmente,/orientaciones/,,aprobado,/lecturas/crisis-del-porfirismo/: destino local presente en dist/.
/lecturas/crisis-del-porfirismo/,6,Acerca,/acerca/,ruta_interna,resuelto_localmente,/acerca/,,aprobado,/lecturas/crisis-del-porfirismo/: destino local presente en dist/.
/lecturas/crisis-del-porfirismo/,7,Inicio,/,ruta_interna,resuelto_localmente,/,,aprobado,/lecturas/crisis-del-porfirismo/: destino local presente en dist/.
/lecturas/crisis-del-porfirismo/,8,Lecturas,/lecturas/,ruta_interna,resuelto_localmente,/lecturas/,,aprobado,/lecturas/crisis-del-porfirismo/: destino local presente en dist/.
/lecturas/crisis-del-porfirismo/,9,Abrir fuente institucional de La Revolución y los revolucionarios. Tomo I: La crisis del Porfirismo,https://inehrm.gob.mx/work/models/inehrm/Resource/455/1/images/Tomo_I.pdf,externo_institucional_o_fuente,verificado_disponible,https://inehrm.gob.mx/work/models/inehrm/Resource/455/1/images/Tomo_I.pdf,PDF oficial localizado en el dominio vigente del INEHRM; conserva la ruta del recurso alojada antes en el dominio legado. Verificado el 2026-09-01.,aprobado,PDF oficial localizado en el dominio vigente del INEHRM; conserva la ruta del recurso alojada antes en el dominio legado. Verificado el 2026-09-01.
/lecturas/crisis-del-porfirismo/,10,PDF institucional del INEHRM,https://inehrm.gob.mx/work/models/inehrm/Resource/455/1/images/Tomo_I.pdf,externo_institucional_o_fuente,verificado_disponible,https://inehrm.gob.mx/work/models/inehrm/Resource/455/1/images/Tomo_I.pdf,PDF oficial localizado en el dominio vigente del INEHRM; conserva la ruta del recurso alojada antes en el dominio legado. Verificado el 2026-09-01.,aprobado,PDF oficial localizado en el dominio vigente del INEHRM; conserva la ruta del recurso alojada antes en el dominio legado. Verificado el 2026-09-01.
/lecturas/crisis-del-porfirismo/,11,Régimen Porfirista,/unidades/regimen-porfirista/,ruta_interna,resuelto_localmente,/unidades/regimen-porfirista/,,aprobado,/lecturas/crisis-del-porfirismo/: destino local presente en dist/.
/lecturas/crisis-del-porfirismo/,12,Revolución Mexicana,/unidades/revolucion-mexicana/,ruta_interna,resuelto_localmente,/unidades/revolucion-mexicana/,,aprobado,/lecturas/crisis-del-porfirismo/: destino local presente en dist/.
/lecturas/crisis-del-porfirismo/,13,Metodología y límites,/acerca/,ruta_interna,resuelto_localmente,/acerca/,,aprobado,/lecturas/crisis-del-porfirismo/: destino local presente en dist/.
/lecturas/crisis-del-porfirismo/,14,Navegación docente,/orientaciones/,ruta_interna,resuelto_localmente,/orientaciones/,,aprobado,/lecturas/crisis-del-porfirismo/: destino local presente en dist/.
/lecturas/dictadura-porfirista/,1,Saltar al contenido principal,#contenido-principal,ancla_en_pagina,resuelto_localmente,#contenido-principal,,aprobado,/lecturas/dictadura-porfirista/: destino local presente en dist/.
/lecturas/dictadura-porfirista/,2,HII Historia Contemporánea de México II Preparatoria Agrícola · UACh,/,ruta_interna,resuelto_localmente,/,,aprobado,/lecturas/dictadura-porfirista/: destino local presente en dist/.
/lecturas/dictadura-porfirista/,3,Lecturas,/lecturas/,ruta_interna,resuelto_localmente,/lecturas/,,aprobado,/lecturas/dictadura-porfirista/: destino local presente en dist/.
/lecturas/dictadura-porfirista/,4,Unidades,/unidades/regimen-porfirista/,ruta_interna,resuelto_localmente,/unidades/regimen-porfirista/,,aprobado,/lecturas/dictadura-porfirista/: destino local presente en dist/.
/lecturas/dictadura-porfirista/,5,Orientaciones,/orientaciones/,ruta_interna,resuelto_localmente,/orientaciones/,,aprobado,/lecturas/dictadura-porfirista/: destino local presente en dist/.
/lecturas/dictadura-porfirista/,6,Acerca,/acerca/,ruta_interna,resuelto_localmente,/acerca/,,aprobado,/lecturas/dictadura-porfirista/: destino local presente en dist/.
/lecturas/dictadura-porfirista/,7,Inicio,/,ruta_interna,resuelto_localmente,/,,aprobado,/lecturas/dictadura-porfirista/: destino local presente en dist/.
/lecturas/dictadura-porfirista/,8,Lecturas,/lecturas/,ruta_interna,resuelto_localmente,/lecturas/,,aprobado,/lecturas/dictadura-porfirista/: destino local presente en dist/.
/lecturas/dictadura-porfirista/,9,Abrir fuente institucional de La dictadura porfirista,https://www.inehrm.gob.mx/es/inehrm/La_Dictadura_Porfirista,externo_institucional_o_fuente,verificado_disponible,https://www.inehrm.gob.mx/es/inehrm/La_Dictadura_Porfirista,Página institucional identificada como La Dictadura Porfirista.,aprobado,Página institucional identificada como La Dictadura Porfirista.
/lecturas/dictadura-porfirista/,10,https://www.inehrm.gob.mx/es/inehrm/La_Dictadura_Porfirista,https://www.inehrm.gob.mx/es/inehrm/La_Dictadura_Porfirista,externo_institucional_o_fuente,verificado_disponible,https://www.inehrm.gob.mx/es/inehrm/La_Dictadura_Porfirista,Página institucional identificada como La Dictadura Porfirista.,aprobado,Página institucional identificada como La Dictadura Porfirista.
/lecturas/dictadura-porfirista/,11,Régimen Porfirista,/unidades/regimen-porfirista/,ruta_interna,resuelto_localmente,/unidades/regimen-porfirista/,,aprobado,/lecturas/dictadura-porfirista/: destino local presente en dist/.
/lecturas/dictadura-porfirista/,12,Revolución Mexicana,/unidades/revolucion-mexicana/,ruta_interna,resuelto_localmente,/unidades/revolucion-mexicana/,,aprobado,/lecturas/dictadura-porfirista/: destino local presente en dist/.
/lecturas/dictadura-porfirista/,13,"Modernización, territorio y contradicciones en el Régimen Porfirista",/orientaciones/modernizacion-territorio-contradicciones-regimen-porfirista/,ruta_interna,resuelto_localmente,/orientaciones/modernizacion-territorio-contradicciones-regimen-porfirista/,,aprobado,/lecturas/dictadura-porfirista/: destino local presente en dist/.
/lecturas/dictadura-porfirista/,14,"Estado, reelección y legitimidad en el Régimen Porfirista",/orientaciones/estado-reeleccion-legitimidad-regimen-porfirista/,ruta_interna,resuelto_localmente,/orientaciones/estado-reeleccion-legitimidad-regimen-porfirista/,,aprobado,/lecturas/dictadura-porfirista/: destino local presente en dist/.
/lecturas/dictadura-porfirista/,15,Metodología y límites,/acerca/,ruta_interna,resuelto_localmente,/acerca/,,aprobado,/lecturas/dictadura-porfirista/: destino local presente en dist/.
/lecturas/dictadura-porfirista/,16,Navegación docente,/orientaciones/,ruta_interna,resuelto_localmente,/orientaciones/,,aprobado,/lecturas/dictadura-porfirista/: destino local presente en dist/.
/lecturas/documentos-fundamentales-revolucion-mexicana/,1,Saltar al contenido principal,#contenido-principal,ancla_en_pagina,resuelto_localmente,#contenido-principal,,aprobado,/lecturas/documentos-fundamentales-revolucion-mexicana/: destino local presente en dist/.
/lecturas/documentos-fundamentales-revolucion-mexicana/,2,HII Historia Contemporánea de México II Preparatoria Agrícola · UACh,/,ruta_interna,resuelto_localmente,/,,aprobado,/lecturas/documentos-fundamentales-revolucion-mexicana/: destino local presente en dist/.
/lecturas/documentos-fundamentales-revolucion-mexicana/,3,Lecturas,/lecturas/,ruta_interna,resuelto_localmente,/lecturas/,,aprobado,/lecturas/documentos-fundamentales-revolucion-mexicana/: destino local presente en dist/.
/lecturas/documentos-fundamentales-revolucion-mexicana/,4,Unidades,/unidades/regimen-porfirista/,ruta_interna,resuelto_localmente,/unidades/regimen-porfirista/,,aprobado,/lecturas/documentos-fundamentales-revolucion-mexicana/: destino local presente en dist/.
/lecturas/documentos-fundamentales-revolucion-mexicana/,5,Orientaciones,/orientaciones/,ruta_interna,resuelto_localmente,/orientaciones/,,aprobado,/lecturas/documentos-fundamentales-revolucion-mexicana/: destino local presente en dist/.
/lecturas/documentos-fundamentales-revolucion-mexicana/,6,Acerca,/acerca/,ruta_interna,resuelto_localmente,/acerca/,,aprobado,/lecturas/documentos-fundamentales-revolucion-mexicana/: destino local presente en dist/.
/lecturas/documentos-fundamentales-revolucion-mexicana/,7,Inicio,/,ruta_interna,resuelto_localmente,/,,aprobado,/lecturas/documentos-fundamentales-revolucion-mexicana/: destino local presente en dist/.
/lecturas/documentos-fundamentales-revolucion-mexicana/,8,Lecturas,/lecturas/,ruta_interna,resuelto_localmente,/lecturas/,,aprobado,/lecturas/documentos-fundamentales-revolucion-mexicana/: destino local presente en dist/.
/lecturas/documentos-fundamentales-revolucion-mexicana/,9,Abrir fuente institucional de Documentos fundamentales de la Revolución Mexicana,https://www.inehrm.gob.mx/recursos/Libros/Documentos_fundamentales_de_la_Revolucion_Mexicana.pdf,externo_institucional_o_fuente,verificado_disponible,https://www.inehrm.gob.mx/recursos/Libros/Documentos_fundamentales_de_la_Revolucion_Mexicana.pdf,PDF institucional disponible.,aprobado,PDF institucional disponible.
/lecturas/documentos-fundamentales-revolucion-mexicana/,10,PDF institucional del INEHRM,https://www.inehrm.gob.mx/recursos/Libros/Documentos_fundamentales_de_la_Revolucion_Mexicana.pdf,externo_institucional_o_fuente,verificado_disponible,https://www.inehrm.gob.mx/recursos/Libros/Documentos_fundamentales_de_la_Revolucion_Mexicana.pdf,PDF institucional disponible.,aprobado,PDF institucional disponible.
/lecturas/documentos-fundamentales-revolucion-mexicana/,11,Revolución Mexicana,/unidades/revolucion-mexicana/,ruta_interna,resuelto_localmente,/unidades/revolucion-mexicana/,,aprobado,/lecturas/documentos-fundamentales-revolucion-mexicana/: destino local presente en dist/.
/lecturas/documentos-fundamentales-revolucion-mexicana/,12,Régimen Porfirista,/unidades/regimen-porfirista/,ruta_interna,resuelto_localmente,/unidades/regimen-porfirista/,,aprobado,/lecturas/documentos-fundamentales-revolucion-mexicana/: destino local presente en dist/.
/lecturas/documentos-fundamentales-revolucion-mexicana/,13,Estado surgido de la Revolución,/unidades/estado-surgido-de-la-revolucion/,ruta_interna,resuelto_localmente,/unidades/estado-surgido-de-la-revolucion/,,aprobado,/lecturas/documentos-fundamentales-revolucion-mexicana/: destino local presente en dist/.
/lecturas/documentos-fundamentales-revolucion-mexicana/,14,Consolidación del sistema político autoritario,/unidades/consolidacion-sistema-politico-autoritario/,ruta_interna,resuelto_localmente,/unidades/consolidacion-sistema-politico-autoritario/,,aprobado,/lecturas/documentos-fundamentales-revolucion-mexicana/: destino local presente en dist/.
/lecturas/documentos-fundamentales-revolucion-mexicana/,15,Del antirreeleccionismo al levantamiento,/orientaciones/antirreeleccionismo-levantamiento-revolucion-mexicana/,ruta_interna,resuelto_localmente,/orientaciones/antirreeleccionismo-levantamiento-revolucion-mexicana/,,aprobado,/lecturas/documentos-fundamentales-revolucion-mexicana/: destino local presente en dist/.
/lecturas/documentos-fundamentales-revolucion-mexicana/,16,Trama transversal de la Unidad 3 — Estado surgido de la Revolución,/orientaciones/unidad-3-estado-surgido-de-la-revolucion/,ruta_interna,resuelto_localmente,/orientaciones/unidad-3-estado-surgido-de-la-revolucion/,,aprobado,/lecturas/documentos-fundamentales-revolucion-mexicana/: destino local presente en dist/.
/lecturas/documentos-fundamentales-revolucion-mexicana/,17,Metodología y límites,/acerca/,ruta_interna,resuelto_localmente,/acerca/,,aprobado,/lecturas/documentos-fundamentales-revolucion-mexicana/: destino local presente en dist/.
/lecturas/documentos-fundamentales-revolucion-mexicana/,18,Navegación docente,/orientaciones/,ruta_interna,resuelto_localmente,/orientaciones/,,aprobado,/lecturas/documentos-fundamentales-revolucion-mexicana/: destino local presente en dist/.
/lecturas/elecciones-sistema-politico/,1,Saltar al contenido principal,#contenido-principal,ancla_en_pagina,resuelto_localmente,#contenido-principal,,aprobado,/lecturas/elecciones-sistema-politico/: destino local presente en dist/.
/lecturas/elecciones-sistema-politico/,2,HII Historia Contemporánea de México II Preparatoria Agrícola · UACh,/,ruta_interna,resuelto_localmente,/,,aprobado,/lecturas/elecciones-sistema-politico/: destino local presente en dist/.
/lecturas/elecciones-sistema-politico/,3,Lecturas,/lecturas/,ruta_interna,resuelto_localmente,/lecturas/,,aprobado,/lecturas/elecciones-sistema-politico/: destino local presente en dist/.
/lecturas/elecciones-sistema-politico/,4,Unidades,/unidades/regimen-porfirista/,ruta_interna,resuelto_localmente,/unidades/regimen-porfirista/,,aprobado,/lecturas/elecciones-sistema-politico/: destino local presente en dist/.
/lecturas/elecciones-sistema-politico/,5,Orientaciones,/orientaciones/,ruta_interna,resuelto_localmente,/orientaciones/,,aprobado,/lecturas/elecciones-sistema-politico/: destino local presente en dist/.
/lecturas/elecciones-sistema-politico/,6,Acerca,/acerca/,ruta_interna,resuelto_localmente,/acerca/,,aprobado,/lecturas/elecciones-sistema-politico/: destino local presente en dist/.
/lecturas/elecciones-sistema-politico/,7,Inicio,/,ruta_interna,resuelto_localmente,/,,aprobado,/lecturas/elecciones-sistema-politico/: destino local presente en dist/.
/lecturas/elecciones-sistema-politico/,8,Lecturas,/lecturas/,ruta_interna,resuelto_localmente,/lecturas/,,aprobado,/lecturas/elecciones-sistema-politico/: destino local presente en dist/.
/lecturas/elecciones-sistema-politico/,9,Abrir fuente institucional de Las elecciones y el sistema político,https://historiamexicana.colmex.mx/index.php/RHM/article/view/4313/4529,externo_institucional_o_fuente,verificado_bloqueo_tecnico,https://historiamexicana.colmex.mx/index.php/RHM/article/view/4313/4529,El destino mostró una verificación de seguridad; la URL canónica se conserva. Hallazgo OBS-EXT-01.,aprobado_con_observacion,El destino mostró una verificación de seguridad; la URL canónica se conserva. Hallazgo OBS-EXT-01.
/lecturas/elecciones-sistema-politico/,10,Artículo en Historia Mexicana,https://historiamexicana.colmex.mx/index.php/RHM/article/view/4313/4529,externo_institucional_o_fuente,verificado_bloqueo_tecnico,https://historiamexicana.colmex.mx/index.php/RHM/article/view/4313/4529,El destino mostró una verificación de seguridad; la URL canónica se conserva. Hallazgo OBS-EXT-01.,aprobado_con_observacion,El destino mostró una verificación de seguridad; la URL canónica se conserva. Hallazgo OBS-EXT-01.
/lecturas/elecciones-sistema-politico/,11,Consolidación del sistema político autoritario,/unidades/consolidacion-sistema-politico-autoritario/,ruta_interna,resuelto_localmente,/unidades/consolidacion-sistema-politico-autoritario/,,aprobado,/lecturas/elecciones-sistema-politico/: destino local presente en dist/.
/lecturas/elecciones-sistema-politico/,12,Estado surgido de la Revolución,/unidades/estado-surgido-de-la-revolucion/,ruta_interna,resuelto_localmente,/unidades/estado-surgido-de-la-revolucion/,,aprobado,/lecturas/elecciones-sistema-politico/: destino local presente en dist/.
/lecturas/elecciones-sistema-politico/,13,Neoliberalismo y alternancia,/unidades/neoliberalismo-y-alternancia/,ruta_interna,resuelto_localmente,/unidades/neoliberalismo-y-alternancia/,,aprobado,/lecturas/elecciones-sistema-politico/: destino local presente en dist/.
/lecturas/elecciones-sistema-politico/,14,Trama transversal de la Unidad 3 — Estado surgido de la Revolución,/orientaciones/unidad-3-estado-surgido-de-la-revolucion/,ruta_interna,resuelto_localmente,/orientaciones/unidad-3-estado-surgido-de-la-revolucion/,,aprobado,/lecturas/elecciones-sistema-politico/: destino local presente en dist/.
/lecturas/elecciones-sistema-politico/,15,Metodología y límites,/acerca/,ruta_interna,resuelto_localmente,/acerca/,,aprobado,/lecturas/elecciones-sistema-politico/: destino local presente en dist/.
/lecturas/elecciones-sistema-politico/,16,Navegación docente,/orientaciones/,ruta_interna,resuelto_localmente,/orientaciones/,,aprobado,/lecturas/elecciones-sistema-politico/: destino local presente en dist/.
/lecturas/felipe-angeles-general-revolucionario-generoso-academico/,1,Saltar al contenido principal,#contenido-principal,ancla_en_pagina,resuelto_localmente,#contenido-principal,,aprobado,/lecturas/felipe-angeles-general-revolucionario-generoso-academico/: destino local presente en dist/.
/lecturas/felipe-angeles-general-revolucionario-generoso-academico/,2,HII Historia Contemporánea de México II Preparatoria Agrícola · UACh,/,ruta_interna,resuelto_localmente,/,,aprobado,/lecturas/felipe-angeles-general-revolucionario-generoso-academico/: destino local presente en dist/.
/lecturas/felipe-angeles-general-revolucionario-generoso-academico/,3,Lecturas,/lecturas/,ruta_interna,resuelto_localmente,/lecturas/,,aprobado,/lecturas/felipe-angeles-general-revolucionario-generoso-academico/: destino local presente en dist/.
/lecturas/felipe-angeles-general-revolucionario-generoso-academico/,4,Unidades,/unidades/regimen-porfirista/,ruta_interna,resuelto_localmente,/unidades/regimen-porfirista/,,aprobado,/lecturas/felipe-angeles-general-revolucionario-generoso-academico/: destino local presente en dist/.
/lecturas/felipe-angeles-general-revolucionario-generoso-academico/,5,Orientaciones,/orientaciones/,ruta_interna,resuelto_localmente,/orientaciones/,,aprobado,/lecturas/felipe-angeles-general-revolucionario-generoso-academico/: destino local presente en dist/.
/lecturas/felipe-angeles-general-revolucionario-generoso-academico/,6,Acerca,/acerca/,ruta_interna,resuelto_localmente,/acerca/,,aprobado,/lecturas/felipe-angeles-general-revolucionario-generoso-academico/: destino local presente en dist/.
/lecturas/felipe-angeles-general-revolucionario-generoso-academico/,7,Inicio,/,ruta_interna,resuelto_localmente,/,,aprobado,/lecturas/felipe-angeles-general-revolucionario-generoso-academico/: destino local presente en dist/.
/lecturas/felipe-angeles-general-revolucionario-generoso-academico/,8,Lecturas,/lecturas/,ruta_interna,resuelto_localmente,/lecturas/,,aprobado,/lecturas/felipe-angeles-general-revolucionario-generoso-academico/: destino local presente en dist/.
/lecturas/felipe-angeles-general-revolucionario-generoso-academico/,9,"Abrir fuente institucional de Felipe Ángeles: El general revolucionario y el generoso académico. Entre la milicia, la física y las matemáticas",https://www.inehrm.gob.mx/recursos/Libros/2024_felipe_angeles_elgral_revolucionario_yel_generoso_academico.pdf,externo_institucional_o_fuente,verificado_disponible,https://www.inehrm.gob.mx/recursos/Libros/2024_felipe_angeles_elgral_revolucionario_yel_generoso_academico.pdf,PDF institucional disponible.,aprobado,PDF institucional disponible.
/lecturas/felipe-angeles-general-revolucionario-generoso-academico/,10,Libro digital del INEHRM,https://www.inehrm.gob.mx/recursos/Libros/2024_felipe_angeles_elgral_revolucionario_yel_generoso_academico.pdf,externo_institucional_o_fuente,verificado_disponible,https://www.inehrm.gob.mx/recursos/Libros/2024_felipe_angeles_elgral_revolucionario_yel_generoso_academico.pdf,PDF institucional disponible.,aprobado,PDF institucional disponible.
/lecturas/felipe-angeles-general-revolucionario-generoso-academico/,11,Revolución Mexicana,/unidades/revolucion-mexicana/,ruta_interna,resuelto_localmente,/unidades/revolucion-mexicana/,,aprobado,/lecturas/felipe-angeles-general-revolucionario-generoso-academico/: destino local presente en dist/.
/lecturas/felipe-angeles-general-revolucionario-generoso-academico/,12,Metodología y límites,/acerca/,ruta_interna,resuelto_localmente,/acerca/,,aprobado,/lecturas/felipe-angeles-general-revolucionario-generoso-academico/: destino local presente en dist/.
/lecturas/felipe-angeles-general-revolucionario-generoso-academico/,13,Navegación docente,/orientaciones/,ruta_interna,resuelto_localmente,/orientaciones/,,aprobado,/lecturas/felipe-angeles-general-revolucionario-generoso-academico/: destino local presente en dist/.
/lecturas/historia-militar-revolucion-epoca-maderista-tomo-1/,1,Saltar al contenido principal,#contenido-principal,ancla_en_pagina,resuelto_localmente,#contenido-principal,,aprobado,/lecturas/historia-militar-revolucion-epoca-maderista-tomo-1/: destino local presente en dist/.
/lecturas/historia-militar-revolucion-epoca-maderista-tomo-1/,2,HII Historia Contemporánea de México II Preparatoria Agrícola · UACh,/,ruta_interna,resuelto_localmente,/,,aprobado,/lecturas/historia-militar-revolucion-epoca-maderista-tomo-1/: destino local presente en dist/.
/lecturas/historia-militar-revolucion-epoca-maderista-tomo-1/,3,Lecturas,/lecturas/,ruta_interna,resuelto_localmente,/lecturas/,,aprobado,/lecturas/historia-militar-revolucion-epoca-maderista-tomo-1/: destino local presente en dist/.
/lecturas/historia-militar-revolucion-epoca-maderista-tomo-1/,4,Unidades,/unidades/regimen-porfirista/,ruta_interna,resuelto_localmente,/unidades/regimen-porfirista/,,aprobado,/lecturas/historia-militar-revolucion-epoca-maderista-tomo-1/: destino local presente en dist/.
