id_recurso,slug,titulo,autoria,anio,tipo_material,acceso,fuente_url,resumen,unidad_principal,unidades_relacionadas,niveles,estado_editorial
HIST2_0011,historia-militar-revolucion-epoca-maderista-tomo-3,Historia militar de la Revolución en la época maderista. Tomo III,Miguel A. Sánchez Lamego.,2020,Estudio histórico militar,Abierto,https://inehrm.gob.mx/recursos/Libros/HistoriaMilitarEpocaMaderistaT3.pdf,"El tomo estudia la fragmentación política y militar durante el gobierno maderista. Presenta la revolución vazquista vinculada con el Plan de Tacubaya, la disidencia reyista y sus antecedentes porfiristas, y las dos fases de la revolución orozquista: guerra regular en Chihuahua y guerra de guerrillas en varios estados del norte. También aborda la revuelta felicista y la asonada militar iniciada el 9 de febrero de 1913 en la Ciudad de México. Permite estudiar facciones, legitimidad, alianzas y crisis, aunque su forma de narrar privilegia jefaturas, tropas y operaciones sobre otros sujetos y experiencias sociales.",Revolución Mexicana,Régimen Porfirista,avanzado,en_revision
HIST2_0012,revolucion-mexicana-laboratorio-visual-fotografos-camaras,La Revolución Mexicana. Un laboratorio visual entre fotógrafos y cámaras,Jehiely Hernández.,2025,Ensayo histórico de cultura visual,Abierto,https://www.inehrm.gob.mx/es/inehrm/La_Revolucion_Mexicana_Un_laboratorio_visual_entre_fotografos_y_camaras,"El texto explica cómo la fotografía y el cine registraron, informaron y construyeron memorias de la Revolución Mexicana. Analiza el oficio de fotógrafos de gabinete y de prensa, las tecnologías de cámara e impresión, la circulación de imágenes, el fotoperiodismo, las agencias y los archivos. Examina casos como Ciudad Juárez, Francisco Villa, la Decena Trágica, Casasola, fotógrafos regionales y Sara Castrejón. Propone tratar cada imagen como un documento situado, con autoría, técnica, propósito, circulación e intereses, y usarla para formular preguntas sobre violencia, vida cotidiana, trabajo, género, regiones y grupos históricamente invisibilizados.",Revolución Mexicana,Régimen Porfirista,intermedio|avanzado,en_revision
HIST2_0013,prensa-instrumento-cientifico-revolucion,La prensa como instrumento científico en tiempos de la Revolución,Victoria Alejandra Ruiz Vera.,2022,Expediente digital de divulgación histórica,Abierto,https://inehrm.gob.mx/es/inehrm/La_prensa_comoinstrumento_tiempos_de_revolucion,"El expediente explica que, durante el final del Porfiriato, la Revolución y la reconstrucción, la prensa especializada y popular hizo circular conocimientos científicos cuando las instituciones, los museos y los gabinetes enfrentaban límites materiales o interrupciones. El caso de la teratología permite analizar cómo periódicos, revistas, catálogos, fotografías, grabados y museos difundían y legitimaban saberes, y cómo se representaban cuerpos clasificados históricamente como anormales. Incluye referencias a sociedades científicas, Museo Nacional, Casasola, Alfredo Dugès, José Guadalupe Posada y la educación pública posrevolucionaria. La lectura exige un tratamiento ético: su vocabulario y algunas imágenes pertenecen a un marco histórico que debe contextualizarse críticamente, sin convertir la diferencia corporal en espectáculo ni en diagnóstico actual.",Revolución Mexicana,Régimen Porfirista|Estado surgido de la Revolución,intermedio|avanzado,en_revision
HIST2_0014,relaciones-mexico-estados-unidos-1911-1918,"Relaciones México-Estados Unidos, 1911-1918",Instituto Nacional de Estudios Históricos de las Revoluciones de México (INEHRM); autoría individual no identificada en el PDF consultado.,2018,Artículo histórico institucional,Abierto,https://inehrm.gob.mx/es/inehrm/Relaciones_Mexico-Estados_Unidos_1911-1918,"El artículo presenta las tensiones entre México y Estados Unidos desde la presidencia de Madero hasta la etapa carrancista. Examina la movilización militar estadounidense de 1911, el papel del embajador Henry Lane Wilson durante la Decena Trágica, la ocupación de Veracruz de 1914, las negociaciones y mediaciones internacionales, la cuestión petrolera, el ataque a Columbus, la Expedición Punitiva, el enfrentamiento de Carrizal, el telegrama Zimmermann y la neutralidad de México ante la Primera Guerra Mundial. También registra restricciones comerciales, reclutamiento de mexicanos residentes en Estados Unidos y gestiones diplomáticas. La lectura permite analizar soberanía y relaciones internacionales mediante fuentes documentales, siempre distinguiendo los hechos, las voces citadas y la interpretación institucional que organiza el relato.",Revolución Mexicana,Estado surgido de la Revolución,intermedio|avanzado,en_revision
HIST2_0015,elecciones-sistema-politico,Las elecciones y el sistema político,José Antonio Aguilar Rivera (Centro de Investigación y Docencia Económicas).,2021,Artículo / reseña historiográfica,Abierto,https://historiamexicana.colmex.mx/index.php/RHM/article/view/4313/4529,"José Antonio Aguilar Rivera reconstruye los cambios en la manera de estudiar las elecciones y el sistema político mexicano desde los artículos publicados en Historia Mexicana. Explica que interpretaciones anteriores, marcadas por la experiencia del autoritarismo posrevolucionario, tendían a ver los comicios como rituales formales o mecanismos secundarios. Revisa la renovación de la historia electoral a partir de la democratización, el estudio de prácticas locales, ciudadanía, comunidades indígenas, prensa, facciones y constitucionalismo. Para el periodo posrevolucionario discute la competencia de los años veinte, la no reelección legislativa, el PNR y las condiciones de la hegemonía priista. Propone entender las elecciones como prácticas históricas cuyo sentido, eficacia y relación con el poder cambian según el contexto.",Consolidación del sistema político autoritario,Estado surgido de la Revolución|Neoliberalismo y alternancia,avanzado,en_revision
HIST2_0016,sistema-politico-etapa-clasica,El sistema político mexicano: la etapa clásica,José Carbonell.,2002,Ensayo / estudio político,Abierto,https://archivos.juridicas.unam.mx/www/bjv/libros/1/181/4.pdf,"José Carbonell propone una caracterización de la etapa clásica del sistema político mexicano, que delimita entre 1940 y 1982, aunque reconoce crisis desde 1968 y persistencias posteriores. Explica el presidencialismo como eje del régimen y analiza su relación con el PRI, los poderes Legislativo y Judicial, la sucesión presidencial, las elecciones, la oposición, el federalismo y la economía. Describe un sistema autoritario y corporativo cuya estabilidad se apoyaba en control político, disciplina, inclusión canalizada, legitimidad de origen revolucionario, desempeño económico, cooptación y recursos estatales. El capítulo permite analizar el funcionamiento institucional del autoritarismo, pero exige contextualizar su lenguaje y sus tesis como una interpretación elaborada en 2002, no como descripción invariable de toda la historia política de México.",Consolidación del sistema político autoritario,Estado surgido de la Revolución|Neoliberalismo y alternancia,avanzado,en_revision
HIST2_0017,sistema-politico-desarrollo-reacomodo-poder,Sistema político mexicano: desarrollo y reacomodo del poder,Juan Pablo Navarrete Vela.,2008,Artículo académico,Abierto,https://www.redalyc.org/pdf/2110/211015582008.pdf,"Juan Pablo Navarrete Vela estudia el reacomodo del poder en México a partir de las reformas político-electorales y de la transformación del sistema de partido hegemónico hacia mayor competencia. Revisa la apertura de 1977, las reformas de 1986, 1989-1990, 1993, 1994, 1996 y 2007, y relaciona los comicios de 1988, 1994, 1997, 2000 y 2006 con pluralismo, alternancia y gobiernos divididos. El artículo sostiene que la transición fue gradual y que la democracia electoral no equivalía todavía a una democracia consolidada. Sus interpretaciones sobre el IFE, los partidos y las elecciones de 2006-2008 son propias de esa coyuntura; sirven para analizar preguntas de reforma y legitimidad, no para describir automáticamente el sistema político actual.",Neoliberalismo y alternancia,Consolidación del sistema político autoritario,intermedio|avanzado,en_revision
HIST2_0018,resena-loaeza-sombra-superpotencia,"Sobre Soledad Loaeza, A la sombra de la superpotencia: tres presidentes mexicanos en la Guerra Fría, 1945-1958",Pablo Kalax Orozco Barriga (El Colegio de México).,2024,Artículo / reseña historiográfica,Abierto,https://www.scielo.org.mx/scielo.php?pid=S2448-65312024000300448&script=sci_arttext,"La reseña presenta el libro de Soledad Loaeza como una explicación histórica de la modernización e institucionalización del presidencialismo mexicano bajo las presiones de Estados Unidos y la Guerra Fría. Según la síntesis de Pablo Kalax Orozco Barriga, Loaeza rechaza imaginar a los presidentes como omnipotentes y destaca sus límites, márgenes de negociación e independencia relativa. La obra reseñada estudia a Manuel Ávila Camacho, Miguel Alemán y Adolfo Ruiz Cortines, así como coyunturas de 1945 a 1958. El reseñista valora su originalidad, pero cuestiona su caracterización de cardenistas y lombardistas y considera insuficiente la discusión sobre corrupción y autoritarismo. La lectura permite trabajar cómo una reseña reconstruye, evalúa y discute una interpretación historiográfica, no sustituir la lectura del libro reseñado.",Consolidación del sistema político autoritario,Estado surgido de la Revolución,avanzado,en_revision
HIST2_0019,porfirio-diaz-constitucion-dictadura-reeleccion,"Porfirio Díaz (1830-1915): La Constitución, la dictadura y la reelección",Imer B. Flores.,2015,Ensayo académico,Abierto,https://archivos.juridicas.unam.mx/www/bjv/libros/9/4121/9.pdf,"Imer B. Flores propone un balance crítico de la relación entre Porfirio Díaz y el derecho. Reconoce la dimensión militar y modernizadora del personaje, pero centra su argumento en la paradoja de haber combatido la reelección de Juárez y Lerdo mediante los planes de La Noria y Tuxtepec, para después favorecer reformas que permitieron su permanencia indefinida. Explica que la reforma de 1878 prohibió la reelección inmediata, que la de 1887 la admitió una vez y que la de 1890 dejó de limitarla; interpreta esta secuencia como una ""constitucionalización de la dictadura"" por vulnerar el principio republicano de alternabilidad. El texto enlaza este problema con la Revolución de 1910, la reforma de 1911 y la prohibición posterior de reelección presidencial, a la vez que discute interpretaciones de Rabasa, Garner y otros autores. Su enfoque es jurídico-normativo: ofrece una tesis argumentada sobre legalidad, legitimidad y límites del poder, no una explicación total de la experiencia social del Porfiriato.",Régimen Porfirista,Revolución Mexicana,intermedio|avanzado,en_revision
HIST2_0020,felipe-angeles-general-revolucionario-generoso-academico,"Felipe Ángeles: El general revolucionario y el generoso académico. Entre la milicia, la física y las matemáticas",Faustino Sánchez Garduño.,2024,Libro digital,Abierto,https://www.inehrm.gob.mx/recursos/Libros/2024_felipe_angeles_elgral_revolucionario_yel_generoso_academico.pdf,"Faustino Sánchez Garduño reconstruye a Felipe Ángeles como militar, docente, autor científico y actor de la Revolución Mexicana. El libro explica su formación en el Colegio Militar, su labor académica y sus estudios de balística, y sigue su actuación en Morelos, la Decena Trágica, la oposición a Victoriano Huerta, el constitucionalismo, la toma de Zacatecas, la Convención de Aguascalientes, su relación crítica con Villa, el exilio, su retorno, consejo de guerra y fusilamiento. Para la materia, aporta un caso situado para estudiar lealtad institucional, golpe de Estado, facciones revolucionarias, disputas entre constitucionalismo y convencionismo, programas políticos y debates sobre educación, democracia y justicia. La obra no presenta una historia general de la Revolución: organiza esos procesos desde la trayectoria de Ángeles y formula interpretaciones explícitas sobre Huerta, Carranza, Villa y el juicio militar.",Revolución Mexicana,,intermedio|avanzado,en_revision
